name,temp_c,weather_condition,wind_mph,wind_dir,precip_mm,ID,last_update,date,hours
Dublin,7,Light rain,13,NE,0,715,10/03/2024 11:15,10/03/2024 00:00,11:00 am
Dublin,7,Light rain,13,NE,0,717,10/03/2024 11:45,10/03/2024 00:00,11:00 am
Dublin,7,Light rain,14,NE,0,719,10/03/2024 12:15,10/03/2024 00:00,12:00 pm
Dublin,7,Light rain,14,NE,0,721,10/03/2024 12:45,10/03/2024 00:00,12:00 pm
Dublin,7,Light rain,12,NE,0,723,10/03/2024 13:15,10/03/2024 00:00,1:00 pm
Dublin,7,Light rain,8,NE,0,725,10/03/2024 13:45,10/03/2024 00:00,1:00 pm
Dublin,8,Light rain,9,NE,0,727,10/03/2024 14:15,10/03/2024 00:00,2:00 pm
Dublin,8,Light rain,13,E,0,729,10/03/2024 14:45,10/03/2024 00:00,2:00 pm
Dublin,8,Light rain,14,E,0,731,10/03/2024 15:15,10/03/2024 00:00,3:00 pm
Dublin,8,Light rain,12,E,0,733,10/03/2024 15:45,10/03/2024 00:00,3:00 pm
Dublin,8,Partly cloudy,14,E,0,735,10/03/2024 16:15,10/03/2024 00:00,4:00 pm
Dublin,8,Partly cloudy,12,E,0,737,10/03/2024 17:00,10/03/2024 00:00,5:00 pm
Dublin,8,Partly cloudy,13,ENE,0,739,10/03/2024 17:15,10/03/2024 00:00,5:00 pm
Dublin,8,Partly cloudy,13,ENE,0,741,10/03/2024 17:45,10/03/2024 00:00,5:00 pm
Dublin,8,Partly cloudy,13,E,0,743,10/03/2024 18:15,10/03/2024 00:00,6:00 pm
Dublin,8,Partly cloudy,13,E,0,745,10/03/2024 18:45,10/03/2024 00:00,6:00 pm
Dublin,8,Partly cloudy,12,E,0,747,10/03/2024 19:15,10/03/2024 00:00,7:00 pm
Dublin,8,Overcast,9,ENE,0,749,10/03/2024 19:45,10/03/2024 00:00,7:00 pm
Dublin,7,Partly cloudy,13,E,0,751,10/03/2024 20:15,10/03/2024 00:00,8:00 pm
Dublin,7,Overcast,7,E,0,753,10/03/2024 20:45,10/03/2024 00:00,8:00 pm
Dublin,7,Light rain,14,E,0,755,10/03/2024 21:15,10/03/2024 00:00,9:00 pm
Dublin,7,Light rain,13,E,0,757,10/03/2024 21:45,10/03/2024 00:00,9:00 pm
Dublin,7,Partly cloudy,12,E,0,759,10/03/2024 22:15,10/03/2024 00:00,10:00 pm
Dublin,7,Partly cloudy,11,ENE,0,761,10/03/2024 22:45,10/03/2024 00:00,10:00 pm
Dublin,7,Mist,11,ENE,0,763,10/03/2024 23:15,10/03/2024 00:00,11:00 pm
Dublin,7,Mist,12,E,0,765,10/03/2024 23:45,10/03/2024 00:00,11:00 pm
Dublin,7,Light drizzle,8,E,0,767,11/03/2024 00:15,11/03/2024 00:00,12:00 am
Dublin,6,Mist,6,E,0,769,11/03/2024 00:45,11/03/2024 00:00,12:00 am
Dublin,7,Light rain,11,ENE,0,771,11/03/2024 01:15,11/03/2024 00:00,1:00 am
Dublin,7,Light rain,11,E,0,773,11/03/2024 01:45,11/03/2024 00:00,1:00 am
Dublin,7,Partly cloudy,11,ENE,0,775,11/03/2024 02:15,11/03/2024 00:00,2:00 am
Dublin,7,Partly cloudy,9,ENE,0,777,11/03/2024 02:45,11/03/2024 00:00,2:00 am
Dublin,7,Partly cloudy,9,ENE,0,779,11/03/2024 03:15,11/03/2024 00:00,3:00 am
Dublin,7,Light rain,6,ENE,0,781,11/03/2024 03:45,11/03/2024 00:00,3:00 am
Dublin,7,Light drizzle,6,ENE,0,783,11/03/2024 04:15,11/03/2024 00:00,4:00 am
Dublin,6,Light drizzle,6,ENE,0,785,11/03/2024 04:45,11/03/2024 00:00,4:00 am
Dublin,6,Light drizzle,7,NE,0,787,11/03/2024 05:15,11/03/2024 00:00,5:00 am
Dublin,6,Light drizzle,4,ENE,0,789,11/03/2024 05:45,11/03/2024 00:00,5:00 am
Dublin,6,Mist,4,ENE,0,791,11/03/2024 06:15,11/03/2024 00:00,6:00 am
Dublin,6,Light drizzle,4,NE,0,793,11/03/2024 06:45,11/03/2024 00:00,6:00 am
Dublin,6,Mist,7,E,0,795,11/03/2024 07:15,11/03/2024 00:00,7:00 am
Dublin,6,Mist,6,E,0,797,11/03/2024 07:45,11/03/2024 00:00,7:00 am
Dublin,6,Light drizzle,4,E,0,799,11/03/2024 08:15,11/03/2024 00:00,8:00 am
Dublin,7,Light drizzle,7,E,0,801,11/03/2024 08:45,11/03/2024 00:00,8:00 am
Dublin,7,Light drizzle,7,E,0,803,11/03/2024 09:15,11/03/2024 00:00,9:00 am
Dublin,7,Overcast,4,E,0,805,11/03/2024 09:45,11/03/2024 00:00,9:00 am
Dublin,7,Partly cloudy,4,E,0,807,11/03/2024 10:15,11/03/2024 00:00,10:00 am
Dublin,7,Partly cloudy,4,E,0,809,11/03/2024 10:45,11/03/2024 00:00,10:00 am
Dublin,7,Partly cloudy,4,E,0,811,11/03/2024 11:15,11/03/2024 00:00,11:00 am
Dublin,8,Partly cloudy,4,ENE,0,813,11/03/2024 11:45,11/03/2024 00:00,11:00 am
Dublin,8,Partly cloudy,6,E,0,815,11/03/2024 12:15,11/03/2024 00:00,12:00 pm
Dublin,8,Partly cloudy,2,ESE,0,817,11/03/2024 12:45,11/03/2024 00:00,12:00 pm
Dublin,8,Light rain,4,ESE,0,819,11/03/2024 13:15,11/03/2024 00:00,1:00 pm
Dublin,8,Partly cloudy,2,ESE,0,821,11/03/2024 14:00,11/03/2024 00:00,2:00 pm
Dublin,8,Partly cloudy,4,SSE,0,823,11/03/2024 14:15,11/03/2024 00:00,2:00 pm
